"Name","Team","Games","Points","G","A","PM","PIM","S","SOFF","LB","TO","CT","FO_W","FO","PointsPG","GPG","APG","PMPG","PIMPG","SPG","SOFFPG","LBPG","TOPG","CTPG","FO_WPG","FOPG","ATO_ration","FOpercent","ShootingPct","AdjShootingPct"
"J.McBride","Vancouver ",16,53,31,22,0,4,105,48,56,30,3,NA,NA,3.3125,1.9375,1.375,0,0.25,6.5625,3,3.5,1.875,0.1875,NA,NA,0.733333333333333,NA,0.202614379084967,0.295238095238095
"J.McCready","Vancouver ",5,11,4,7,0,4,19,13,18,10,2,NA,NA,2.2,0.8,1.4,0,0.8,3.8,2.6,3.6,2,0.4,NA,NA,0.7,NA,0.125,0.210526315789474
"J.Miller","Philadelphia ",6,2,0,2,0,2,1,1,13,5,2,NA,NA,0.333333333333333,0,0.333333333333333,0,0.333333333333333,0.166666666666667,0.166666666666667,2.16666666666667,0.833333333333333,0.333333333333333,NA,NA,0.4,NA,0,0
"J.Nishimura","New England ",13,7,3,4,0,4,14,1,71,11,8,NA,NA,0.538461538461538,0.230769230769231,0.307692307692308,0,0.307692307692308,1.07692307692308,0.0769230769230769,5.46153846153846,0.846153846153846,0.615384615384615,NA,NA,0.363636363636364,NA,0.2,0.214285714285714
"J.Noble","Colorado ",11,31,5,26,0,13,66,29,36,21,5,NA,NA,2.81818181818182,0.454545454545455,2.36363636363636,0,1.18181818181818,6,2.63636363636364,3.27272727272727,1.90909090909091,0.454545454545455,NA,NA,1.23809523809524,NA,0.0526315789473684,0.0757575757575758
"J.Noble","Georgia ",18,1,0,1,0,18,1,1,52,4,22,NA,NA,0.0555555555555556,0,0.0555555555555556,0,1,0.0555555555555556,0.0555555555555556,2.88888888888889,0.222222222222222,1.22222222222222,NA,NA,0.25,NA,0,0
"J.Pearson","San Diego ",10,3,2,1,0,8,13,2,28,10,2,NA,NA,0.3,0.2,0.1,0,0.8,1.3,0.2,2.8,1,0.2,NA,NA,0.1,NA,0.133333333333333,0.153846153846154
"J.Powless","Toronto ",18,44,23,21,0,0,87,38,32,18,3,NA,NA,2.44444444444444,1.27777777777778,1.16666666666667,0,0,4.83333333333333,2.11111111111111,1.77777777777778,1,0.166666666666667,NA,NA,1.16666666666667,NA,0.184,0.264367816091954
"J.Rahe","Vancouver ",15,16,7,9,0,2,31,12,78,14,7,NA,NA,1.06666666666667,0.466666666666667,0.6,0,0.133333333333333,2.06666666666667,0.8,5.2,0.933333333333333,0.466666666666667,NA,NA,0.642857142857143,NA,0.162790697674419,0.225806451612903
"J.Ranagan","Georgia ",13,5,1,4,0,4,6,4,25,4,10,NA,NA,0.384615384615385,0.0769230769230769,0.307692307692308,0,0.307692307692308,0.461538461538462,0.307692307692308,1.92307692307692,0.307692307692308,0.769230769230769,NA,NA,1,NA,0.1,0.166666666666667
"J.Resetarits","New England ",7,24,13,11,0,0,65,16,25,14,0,NA,NA,3.42857142857143,1.85714285714286,1.57142857142857,0,0,9.28571428571429,2.28571428571429,3.57142857142857,2,0,NA,NA,0.785714285714286,NA,0.160493827160494,0.2
"J.Resetarits","Rochester ",10,43,15,28,0,4,86,27,45,26,0,NA,NA,4.3,1.5,2.8,0,0.4,8.6,2.7,4.5,2.6,0,NA,NA,1.07692307692308,NA,0.132743362831858,0.174418604651163
"J.Ruest","Colorado ",18,53,14,39,0,6,109,46,97,34,2,NA,NA,2.94444444444444,0.777777777777778,2.16666666666667,0,0.333333333333333,6.05555555555556,2.55555555555556,5.38888888888889,1.88888888888889,0.111111111111111,NA,NA,1.14705882352941,NA,0.0903225806451613,0.128440366972477
"J.Salt","Vancouver ",17,14,8,6,0,8,29,1,74,10,14,NA,NA,0.823529411764706,0.470588235294118,0.352941176470588,0,0.470588235294118,1.70588235294118,0.0588235294117647,4.35294117647059,0.588235294117647,0.823529411764706,NA,NA,0.6,NA,0.266666666666667,0.275862068965517
"J.Shattler","Saskatchewan ",18,73,34,39,0,14,129,39,86,41,7,NA,NA,4.05555555555556,1.88888888888889,2.16666666666667,0,0.777777777777778,7.16666666666667,2.16666666666667,4.77777777777778,2.27777777777778,0.388888888888889,NA,NA,0.951219512195122,NA,0.202380952380952,0.263565891472868
"J.Sullivan","Colorado ",12,2,1,1,0,2,2,0,28,1,8,NA,NA,0.166666666666667,0.0833333333333333,0.0833333333333333,0,0.166666666666667,0.166666666666667,0,2.33333333333333,0.0833333333333333,0.666666666666667,NA,NA,1,NA,0.5,0.5
"J.Thompson","Georgia ",9,12,3,9,0,6,22,14,28,19,2,NA,NA,1.33333333333333,0.333333333333333,1,0,0.666666666666667,2.44444444444444,1.55555555555556,3.11111111111111,2.11111111111111,0.222222222222222,NA,NA,0.473684210526316,NA,0.0833333333333333,0.136363636363636
"J.Thompson","Saskatchewan ",18,10,3,7,0,28,18,11,208,33,25,263,464,0.555555555555556,0.166666666666667,0.388888888888889,0,1.55555555555556,1,0.611111111111111,11.5555555555556,1.83333333333333,1.38888888888889,14.6111111111111,25.7777777777778,0.212121212121212,0.566810344827586,0.103448275862069,0.166666666666667
"J.Thorimbert","Toronto ",16,5,1,4,0,0,7,5,105,12,4,203,422,0.3125,0.0625,0.25,0,0,0.4375,0.3125,6.5625,0.75,0.25,12.6875,26.375,0.333333333333333,0.481042654028436,0.0833333333333333,0.142857142857143
"J.Tinney","Georgia ",5,5,1,4,0,4,16,8,20,5,0,NA,NA,1,0.2,0.8,0,0.8,3.2,1.6,4,1,0,NA,NA,0.8,NA,0.0416666666666667,0.0625
"J.Toll","Vancouver ",16,1,0,1,0,12,1,0,40,4,2,NA,NA,0.0625,0,0.0625,0,0.75,0.0625,0,2.5,0.25,0.125,NA,NA,0.25,NA,0,0
"J.Walters","San Diego ",2,3,2,1,0,0,10,1,3,1,0,NA,NA,1.5,1,0.5,0,0,5,0.5,1.5,0.5,0,NA,NA,1,NA,0.181818181818182,0.2
"J.Withers","Rochester ",14,16,6,10,0,24,15,4,166,15,10,275,367,1.14285714285714,0.428571428571429,0.714285714285714,0,1.71428571428571,1.07142857142857,0.285714285714286,11.8571428571429,1.07142857142857,0.714285714285714,19.6428571428571,26.2142857142857,0.666666666666667,0.749318801089918,0.315789473684211,0.4
"J.Wittig","Colorado ",8,21,8,13,0,4,38,13,16,10,1,NA,NA,2.625,1,1.625,0,0.5,4.75,1.625,2,1.25,0.125,NA,NA,1.3,NA,0.156862745098039,0.210526315789474
"K.Bal","Vancouver ",17,74,32,42,0,2,131,33,64,41,2,NA,NA,4.35294117647059,1.88235294117647,2.47058823529412,0,0.117647058823529,7.70588235294118,1.94117647058824,3.76470588235294,2.41176470588235,0.117647058823529,NA,NA,1.02439024390244,NA,0.195121951219512,0.244274809160305
"K.Brownell","Buffalo ",17,14,3,11,0,4,15,3,74,8,13,NA,NA,0.823529411764706,0.176470588235294,0.647058823529412,0,0.235294117647059,0.882352941176471,0.176470588235294,4.35294117647059,0.470588235294118,0.764705882352941,NA,NA,1.375,NA,0.166666666666667,0.2
"K.Buchanan","New England ",4,8,2,6,0,2,14,2,4,1,1,NA,NA,2,0.5,1.5,0,0.5,3.5,0.5,1,0.25,0.25,NA,NA,6,NA,0.125,0.142857142857143
"K.Buchanan","San Diego ",17,67,28,39,0,4,115,49,98,27,6,NA,NA,3.94117647058824,1.64705882352941,2.29411764705882,0,0.235294117647059,6.76470588235294,2.88235294117647,5.76470588235294,1.58823529411765,0.352941176470588,NA,NA,1.44444444444444,NA,0.170731707317073,0.243478260869565
"K.Crowley","Philadelphia ",15,82,35,47,0,13,183,78,54,37,11,NA,NA,5.46666666666667,2.33333333333333,3.13333333333333,0,0.866666666666667,12.2,5.2,3.6,2.46666666666667,0.733333333333333,NA,NA,1.27027027027027,NA,0.134099616858238,0.191256830601093
"K.Hartzell","San Diego ",10,2,1,1,0,6,5,1,53,6,10,NA,NA,0.2,0.1,0.1,0,0.6,0.5,0.1,5.3,0.6,1,NA,NA,0.166666666666667,NA,0.166666666666667,0.2
"K.Jackson","Rochester ",18,63,30,33,0,38,136,60,66,37,5,NA,NA,3.5,1.66666666666667,1.83333333333333,0,2.11111111111111,7.55555555555556,3.33333333333333,3.66666666666667,2.05555555555556,0.277777777777778,NA,NA,0.891891891891892,NA,0.153061224489796,0.220588235294118
"K.Killen","Colorado ",15,49,28,21,0,2,110,65,35,22,2,NA,NA,3.26666666666667,1.86666666666667,1.4,0,0.133333333333333,7.33333333333333,4.33333333333333,2.33333333333333,1.46666666666667,0.133333333333333,NA,NA,0.954545454545455,NA,0.16,0.254545454545455
"K.Matisz","Philadelphia ",18,82,27,55,0,10,123,40,127,31,19,NA,NA,4.55555555555556,1.5,3.05555555555556,0,0.555555555555556,6.83333333333333,2.22222222222222,7.05555555555556,1.72222222222222,1.05555555555556,NA,NA,1.7741935483871,NA,0.165644171779141,0.219512195121951
"K.McArdle","Toronto ",17,40,12,28,0,22,87,28,45,28,5,NA,NA,2.35294117647059,0.705882352941177,1.64705882352941,0,1.29411764705882,5.11764705882353,1.64705882352941,2.64705882352941,1.64705882352941,0.294117647058824,NA,NA,1,NA,0.104347826086957,0.137931034482759
"K.Orleman","Georgia ",18,1,0,1,NA,0,0,0,3,0,0,NA,NA,0.0555555555555556,0,0.0555555555555556,NA,0,0,0,0.166666666666667,0,0,NA,NA,Inf,NA,NA,NA
"K.Rubisch","Saskatchewan ",18,8,2,6,0,18,5,0,144,9,45,NA,NA,0.444444444444444,0.111111111111111,0.333333333333333,0,1,0.277777777777778,0,8,0.5,2.5,NA,NA,0.666666666666667,NA,0.4,0.4
"L.Byrnes","Philadelphia ",12,2,0,2,0,4,4,2,40,4,8,NA,NA,0.166666666666667,0,0.166666666666667,0,0.333333333333333,0.333333333333333,0.166666666666667,3.33333333333333,0.333333333333333,0.666666666666667,NA,NA,0.5,NA,0,0
