"Name","Team","Games","Points","G","A","PM","PIM","S","SOFF","LB","TO","CT","FO_W","FO","PointsPG","GPG","APG","PMPG","PIMPG","SPG","SOFFPG","LBPG","TOPG","CTPG","FO_WPG","FOPG","ATO_ration","FOpercent","ShootingPct","AdjShootingPct"
"C.Corbeil","Saskatchewan ",1,1,0,1,0,0,1,1,5,0,5,NA,NA,1,0,1,0,0,1,1,5,0,5,NA,NA,Inf,NA,0,0
"C.Crawford","New England ",1,6,4,2,0,0,12,8,5,5,0,NA,NA,6,4,2,0,0,12,8,5,5,0,NA,NA,0.4,NA,0.2,0.333333333333333
"C.Cummings","Calgary ",4,0,0,0,0,4,0,1,9,3,4,NA,NA,0,0,0,0,1,0,0.25,2.25,0.75,1,NA,NA,0,NA,0,NA
"C.Del Bianco","Calgary ",4,4,0,4,0,0,0,0,14,0,0,NA,NA,1,0,1,0,0,0,0,3.5,0,0,NA,NA,Inf,NA,NA,NA
"C.Dickson","Calgary ",4,17,9,8,0,0,38,20,19,13,1,NA,NA,4.25,2.25,2,0,0,9.5,5,4.75,3.25,0.25,NA,NA,0.615384615384615,NA,0.155172413793103,0.236842105263158
"C.Fields","San Diego ",1,1,1,0,0,0,6,3,4,0,0,NA,NA,1,1,0,0,0,6,3,4,0,0,NA,NA,NA,NA,0.111111111111111,0.166666666666667
"C.Fraser","Buffalo ",4,7,7,0,0,10,33,9,21,9,2,32,50,1.75,1.75,0,0,2.5,8.25,2.25,5.25,2.25,0.5,8,12.5,0,0.64,0.166666666666667,0.212121212121212
"C.Holding","San Diego ",1,2,0,2,0,0,0,0,11,0,2,NA,NA,2,0,2,0,0,0,0,11,0,2,NA,NA,Inf,NA,NA,NA
"C.Jackson","San Diego ",1,3,1,2,0,0,9,0,3,0,1,NA,NA,3,1,2,0,0,9,0,3,0,1,NA,NA,Inf,NA,0.111111111111111,0.111111111111111
"C.Kearnan","San Diego ",1,2,1,1,0,0,5,1,2,1,0,NA,NA,2,1,1,0,0,5,1,2,1,0,NA,NA,1,NA,0.166666666666667,0.2
"C.Knight","Saskatchewan ",1,3,2,1,0,2,4,1,4,0,0,NA,NA,3,2,1,0,2,4,1,4,0,0,NA,NA,Inf,NA,0.4,0.5
"C.Manning","Calgary ",4,0,0,0,0,0,0,0,14,3,4,NA,NA,0,0,0,0,0,0,0,3.5,0.75,1,NA,NA,0,NA,NA,NA
"C.Rogers","Toronto ",2,4,2,2,0,0,8,4,12,4,2,NA,NA,2,1,1,0,0,4,2,6,2,1,NA,NA,0.5,NA,0.166666666666667,0.25
"C.Sellars","Georgia ",1,0,0,0,0,0,0,1,5,1,0,2,3,0,0,0,0,0,0,1,5,1,0,2,3,0,0.666666666666667,0,NA
"C.Small","Buffalo ",4,14,9,5,0,0,37,12,12,4,1,NA,NA,3.5,2.25,1.25,0,0,9.25,3,3,1,0.25,NA,NA,1.25,NA,0.183673469387755,0.243243243243243
"C.Tutton","Georgia ",1,0,0,0,0,2,1,1,4,0,1,NA,NA,0,0,0,0,2,1,1,4,0,1,NA,NA,NA,NA,0,0
"C.Vitarelli","Colorado ",2,3,1,2,0,4,7,2,3,8,0,NA,NA,1.5,0.5,1,0,2,3.5,1,1.5,4,0,NA,NA,0.25,NA,0.111111111111111,0.142857142857143
"C.Wardle","Colorado ",2,5,1,4,0,2,4,3,2,1,0,NA,NA,2.5,0.5,2,0,1,2,1.5,1,0.5,0,NA,NA,4,NA,0.142857142857143,0.25
"C.Watkinson","New England ",1,0,0,0,0,0,1,0,1,0,2,NA,NA,0,0,0,0,0,1,0,1,0,2,NA,NA,NA,NA,0,0
"D.Belgrave","San Diego ",1,0,0,0,0,5,0,0,3,1,1,NA,NA,0,0,0,0,5,0,0,3,1,1,NA,NA,0,NA,NA,NA
"D.Brock","New England ",1,1,0,1,0,0,2,0,7,0,0,NA,NA,1,0,1,0,0,2,0,7,0,0,NA,NA,Inf,NA,0,0
